Gender,Country,SubscriptionType,ContractType,TenureMonths,MonthlyCharge,SupportTickets,DaysSinceLastLogin,PaymentFailures,Churn
Female,Egypt,Basic,Monthly,55,37.19,0,12,0,0
Female,India,Free,Monthly,6,11.87,2,17,1,0
Female,Germany,Basic,Monthly,53,46.83,1,81,0,1
Female,Germany,Premium,Monthly,20,97.51,1,1,1,1
Male,UK,Premium,Monthly,39,85.15,0,13,0,0
Male,Germany,Premium,Monthly,72,97.46,3,22,0,0
Female,Egypt,Basic,Monthly,34,47.59,1,0,1,0
Female,Egypt,Premium,Annual,57,84.7,3,20,0,0
Male,Canada,Free,Annual,19,13.9,0,1,0,1
Male,Egypt,Basic,Monthly,71,31.31,1,43,1,0
Female,USA,Basic,Monthly,31,47.28,0,36,0,0
Male,Germany,Basic,Monthly,40,43.68,0,1,0,0
Female,Egypt,Free,Annual,14,6.48,0,1,0,0
Female,UK,Free,Monthly,37,8.92,2,31,0,1
Male,Canada,Basic,Monthly,44,30.99,3,10,1,1
Male,Germany,Free,Annual,9,4.9,1,19,0,0
Female,Canada,Basic,Monthly,58,47.3,2,7,0,0
Female,Germany,Free,Monthly,20,6.81,1,4,0,1
Male,UK,Free,Monthly,50,3.18,3,8,1,0
Female,Canada,Premium,Annual,20,80.04,1,6,0,1
Male,India,Premium,Annual,36,81.73,0,13,0,1
Female,USA,Free,Annual,27,10.17,2,30,0,0
Male,USA,Free,Monthly,72,8.19,2,18,0,1
Male,Germany,Free,Monthly,32,6.01,4,21,1,1
Male,India,Premium,Annual,1,68.22,2,14,0,0
Female,Canada,Basic,Annual,17,31.62,1,9,0,0
Female,India,Basic,Monthly,9,40.17,2,3,1,1
Male,India,Basic,Annual,45,34.66,0,10,1,0
Female,Canada,Free,Monthly,66,5.82,2,24,0,0
Male,UK,Free,Monthly,32,5.75,2,29,0,1
Male,India,Premium,Annual,45,82.95,2,14,1,1
Female,India,Basic,Monthly,9,25.72,1,23,0,1
Female,UK,Free,Annual,30,0.38,1,5,0,0
Male,India,Premium,Monthly,38,90.52,3,43,1,1
Female,India,Premium,Monthly,60,65.0,3,44,0,1
Female,India,Free,Annual,1,12.6,2,8,1,0
Male,USA,Free,Annual,5,8.73,3,17,1,1
Male,Egypt,Basic,Monthly,63,36.21,3,21,3,1
Female,UK,Premium,Monthly,36,99.88,1,14,1,1
Male,India,Basic,Annual,65,30.73,1,53,0,0
Male,USA,Premium,Monthly,24,63.12,1,30,0,1
Female,UK,Free,Annual,4,9.32,2,25,0,1
Male,Germany,Free,Annual,68,13.75,1,16,1,0
Male,Germany,Basic,Monthly,25,25.81,2,2,1,1
Female,India,Free,Monthly,7,9.4,0,3,2,1
Female,USA,Free,Monthly,13,12.32,0,8,0,0
Male,USA,Basic,Annual,68,32.78,3,5,0,0
Male,UK,Free,Monthly,43,10.77,2,67,0,1
Female,UK,Premium,Monthly,57,60.01,3,12,0,1
Female,USA,Free,Monthly,36,4.59,1,46,0,0
Female,UK,Premium,Monthly,14,87.21,3,37,0,1
Female,USA,Basic,Monthly,72,46.58,1,37,0,0
Male,Egypt,Free,Monthly,27,14.06,1,5,0,1
Female,USA,Basic,Annual,37,39.43,2,13,0,1
Female,Germany,Free,Annual,71,7.02,3,8,0,0
Male,UK,Premium,Annual,25,57.9,2,77,0,1
Female,USA,Free,Monthly,67,1.2,4,46,0,1
Male,USA,Basic,Monthly,4,46.01,1,6,1,1
Female,UK,Free,Annual,16,5.61,1,8,0,0
Female,Egypt,Free,Monthly,19,4.06,3,17,0,1
Female,Egypt,Free,Annual,29,4.45,2,7,1,0
Male,UK,Premium,Annual,51,90.27,1,38,0,0
Male,Canada,Premium,Monthly,18,71.32,3,38,0,1
Female,UK,Free,Annual,58,11.74,0,28,0,0
Male,UK,Free,Annual,44,1.07,3,26,0,0
Male,Egypt,Basic,Monthly,16,44.44,0,17,1,0
Male,Egypt,Basic,Monthly,65,28.7,0,9,0,0
Male,UK,Free,Monthly,2,13.36,1,40,0,1
Male,UK,Free,Monthly,56,5.13,0,43,0,0
Male,UK,Free,Monthly,28,6.97,1,1,1,0
Female,Egypt,Free,Monthly,65,13.44,1,11,1,1
Female,UK,Basic,Annual,5,47.13,1,1,1,1
Male,UK,Free,Monthly,22,13.73,1,40,0,1
Female,India,Basic,Monthly,13,26.87,2,4,0,1
Female,Canada,Basic,Annual,65,31.77,0,25,0,0
Female,Germany,Premium,Monthly,16,78.8,2,10,1,1
Female,Canada,Basic,Annual,64,49.53,0,37,0,0
Male,India,Free,Monthly,32,4.96,1,16,0,0
Female,Germany,Basic,Monthly,51,47.91,1,9,2,1
Female,UK,Premium,Monthly,58,57.25,1,9,1,1
Male,India,Free,Annual,46,8.48,3,9,1,0
Male,UK,Basic,Monthly,52,26.16,1,34,0,0
Female,Egypt,Free,Annual,63,5.94,1,27,0,0
Female,USA,Premium,Monthly,60,92.19,1,8,0,1
Female,India,Premium,Monthly,65,90.91,2,15,0,1
Female,Egypt,Basic,Monthly,55,47.6,0,2,1,1
Female,India,Premium,Annual,57,64.08,1,39,0,0
Female,India,Premium,Annual,71,65.77,1,7,0,0
Male,Egypt,Premium,Monthly,26,95.14,3,48,0,1
Female,Germany,Free,Monthly,12,9.25,0,20,0,1
Female,Canada,Free,Monthly,71,9.39,0,18,0,0
Male,UK,Free,Monthly,46,4.44,2,4,0,1
Male,India,Premium,Monthly,47,63.59,0,2,0,1
Male,UK,Free,Annual,38,11.99,3,18,0,1
Male,USA,Free,Annual,21,4.6,2,14,0,0
Female,Egypt,Free,Monthly,14,7.05,2,3,0,1
Female,UK,Premium,Monthly,2,56.79,0,40,1,1
Female,Egypt,Premium,Annual,72,59.54,2,12,1,0
Female,UK,Basic,Annual,70,31.83,0,7,0,0
Female,Canada,Premium,Monthly,33,86.53,1,34,0,1
Female,Canada,Free,Monthly,6,1.72,1,54,0,1
Male,Canada,Premium,Monthly,37,67.53,1,8,0,1
Female,Canada,Free,Monthly,14,4.54,3,33,1,1
Male,Canada,Free,Monthly,37,9.52,2,23,1,1
Male,Canada,Premium,Monthly,8,63.27,1,101,0,1
Female,Egypt,Basic,Annual,13,42.18,3,5,1,1
Male,India,Premium,Monthly,40,62.22,2,71,0,1
Female,UK,Free,Monthly,58,11.34,2,8,2,1
Male,Canada,Free,Monthly,18,5.74,0,12,0,0
Female,Egypt,Basic,Annual,57,34.84,2,10,0,0
Male,Egypt,Free,Annual,38,10.09,1,7,0,1
Female,Egypt,Basic,Monthly,32,47.87,2,26,0,1
Female,India,Basic,Monthly,66,37.74,2,20,0,0
Female,UK,Basic,Annual,25,23.64,2,8,0,0
Female,India,Basic,Monthly,58,25.52,2,3,0,1
Female,Germany,Premium,Monthly,33,70.02,0,8,0,1
Male,Egypt,Premium,Monthly,66,94.44,0,11,0,0
Male,Germany,Free,Monthly,30,9.89,1,11,1,1
Male,USA,Premium,Monthly,34,93.35,3,10,0,1
Female,Canada,Basic,Annual,69,46.86,2,1,0,0
Male,Canada,Free,Annual,48,4.66,2,14,0,0
Female,India,Premium,Monthly,40,51.55,1,40,0,1
Female,UK,Premium,Annual,51,63.89,2,4,0,0
Male,Germany,Free,Monthly,13,5.54,0,3,0,0
Male,UK,Premium,Monthly,31,79.37,1,14,0,1
Female,India,Basic,Monthly,39,21.49,1,10,0,0
Male,Canada,Premium,Annual,63,85.81,3,18,2,1
Female,UK,Basic,Monthly,48,27.57,2,65,1,1
Female,UK,Free,Monthly,48,1.28,3,31,0,1
Female,Canada,Free,Annual,61,5.72,3,26,0,0
Female,Germany,Free,Annual,12,12.63,2,12,0,1
Female,Canada,Basic,Annual,56,45.81,4,7,0,0
Male,UK,Premium,Monthly,18,74.01,2,17,0,1
Male,Germany,Basic,Monthly,27,35.11,4,48,1,1
Female,Germany,Free,Monthly,28,10.27,0,46,1,1
Female,Canada,Basic,Monthly,52,22.27,2,13,0,0
Male,UK,Basic,Annual,16,20.38,2,6,0,0
Male,India,Free,Monthly,58,3.51,1,6,0,0
Female,UK,Free,Monthly,9,7.34,2,1,0,1
Male,Egypt,Basic,Annual,26,31.41,1,41,0,1
Female,USA,Basic,Monthly,28,20.11,1,7,0,1
Male,India,Free,Monthly,36,9.38,2,10,0,0
Female,Germany,Premium,Annual,9,66.26,2,36,0,0
Male,India,Premium,Annual,47,54.48,2,3,0,0
Female,Germany,Basic,Annual,51,28.89,1,14,0,0
Male,Germany,Free,Monthly,57,11.63,2,3,1,0
Male,India,Basic,Monthly,32,39.7,0,13,0,1
Female,Germany,Basic,Annual,67,33.87,1,1,1,0
Male,Germany,Free,Monthly,57,7.02,1,16,0,0
Female,Egypt,Free,Monthly,54,8.64,0,35,0,0
Male,UK,Basic,Annual,16,22.54,3,25,1,1
Female,UK,Basic,Monthly,62,21.33,1,16,0,0
Male,USA,Basic,Annual,56,36.07,2,39,1,1
Female,USA,Premium,Monthly,23,72.75,1,6,0,1
Male,Egypt,Premium,Monthly,17,50.45,1,39,1,0
Female,USA,Basic,Monthly,38,39.17,2,7,0,0
Male,India,Basic,Annual,72,34.31,1,10,1,0
Female,Canada,Premium,Monthly,30,78.5,1,3,0,1
Female,Canada,Premium,Monthly,58,87.49,1,2,0,1
Female,Canada,Free,Annual,22,1.51,0,59,1,1
